"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1099","bullet","walkway",34,1.265,9,1,1,15,0.375,"hit",0,NA,5.002
"1099","plant","worm",57,1.477,10,1,0,24,0.6,"",NA,NA,NA
"1099","bleach","ruin",19,2.206,11,1,1,3,0.075,"attack",0,NA,6.884
"1099","pork","emperor",55,1.4,12,1,1,21,0.525,"hind",0,NA,3.74
"1099","copy","bedroom",62,1.794,13,1,0,28,0.7,"",NA,NA,NA
"1099","prison","loaf",37,2.277,14,1,1,17,0.425,"bill",0,NA,6.022
"1099","caring","skirt",28,1.588,15,1,1,9,0.225,"SKIP",0,NA,4.791
"1099","biology","temper",66,1.771,16,1,1,31,0.775,"need",0,NA,3.385
"1099","process","joker",61,2.44,17,1,1,27,0.675,"happen",0,NA,4.994
"1099","grip","beach",18,1.716,18,1,0,2,0.05,"",NA,NA,NA
"1099","fee","chowder",23,1.499,19,1,0,6,0.15,"",NA,NA,NA
"1099","mill","feast",28,1.247,20,1,1,11,0.275,"run",0,NA,5.242
"1099","fan","feature",67,2.03,21,1,1,35,0.875,"fanatic",0,NA,7.542
"1099","climax","saucer",40,1.459,22,1,1,19,0.475,"remind",0,NA,6.437
"1099","risk","zero",59,1.885,23,1,0,26,0.65,"",NA,NA,NA
"1099","collect","loyalty",67,2.831,24,1,1,33,0.825,"SKIP",0,NA,3.583
"1099","smother","surgery",57,2.083,25,1,1,23,0.575,"bind",0,NA,2.55
"1099","port","cinema",18,1.643,26,1,1,1,0.025,"call",0,NA,2.647
"1099","remind","foam",67,2.318,27,1,0,34,0.85,"",NA,NA,NA
"1099","shrink","mafia",65,1.699,28,1,1,29,0.725,"detect",0,NA,4.486
"1099","forest","knob",43,1.74,29,1,0,20,0.5,"",NA,NA,NA
"1099","find","clown",27,1.82,30,1,1,7,0.175,"intrude",0,NA,4.134
"1099","anger","decay",30,1.417,31,1,1,13,0.325,"SKIP",0,NA,3.464
"1099","link","crisis",73,1.803,32,1,0,38,0.95,"",NA,NA,NA
"1099","chicken","beet",93,2.252,33,1,0,40,1,"",NA,NA,NA
"1099","want","ascent",67,3.521,34,1,0,32,0.8,"",NA,NA,NA
"1099","rock","milk",32,4.481,35,1,0,14,0.35,"",NA,NA,NA
"1099","replace","roach",57,1.795,36,1,1,25,0.625,"destroy",0,NA,2.985
"1099","date","laugh",36,1.555,37,1,0,16,0.4,"",NA,NA,NA
"1099","need","faucet",56,2.413,38,1,0,22,0.55,"",NA,NA,NA
"1099","capital","figure",72,3.497,39,1,1,37,0.925,"gain",0,NA,2.257
"1099","visit","glove",30,1.611,40,1,0,12,0.3,"",NA,NA,NA
"1099","nerve","bumper",28,1.452,1,2,0,10,0.25,"",NA,NA,NA
"1099","remind","foam",67,2.318,2,2,0,34,0.85,"",NA,NA,NA
"1099","chicken","beet",93,2.252,3,2,0,40,1,"",NA,NA,NA
"1099","pea","bathtub",21,1.651,4,2,0,4,0.1,"",NA,NA,NA
"1099","knock","otter",81,2.413,5,2,1,39,0.975,"door",0,NA,2.699
"1099","bullet","walkway",34,1.265,6,2,1,15,0.375,"hit",0,NA,2.487
"1099","risk","zero",59,1.885,7,2,0,26,0.65,"",NA,NA,NA
"1099","want","ascent",67,3.521,8,2,0,32,0.8,"",NA,NA,NA
"1099","pork","emperor",55,1.4,9,2,1,21,0.525,"hind",0,NA,3.573
"1099","shrink","mafia",65,1.699,10,2,1,29,0.725,"touch",0,NA,3.12
"1099","fee","chowder",23,1.499,11,2,0,6,0.15,"",NA,NA,NA
"1099","replace","roach",57,1.795,12,2,1,25,0.625,"destroy",0,NA,2.869
"1099","calf","annoy",68,1.676,13,2,0,36,0.9,"",NA,NA,NA
"1099","bias","sirloin",22,1.587,14,2,1,5,0.125,"information",0,NA,2.822
"1099","glue","force",65,1.955,15,2,0,30,0.75,"",NA,NA,NA
"1099","need","faucet",56,2.413,16,2,0,22,0.55,"",NA,NA,NA
"1099","port","cinema",18,1.643,17,2,1,1,0.025,"SKIP",0,NA,2.523
"1099","find","clown",27,1.82,18,2,1,7,0.175,"annoy",0,NA,6.104
"1099","prison","loaf",37,2.277,19,2,1,17,0.425,"call",0,NA,2.19
"1099","caring","skirt",28,1.588,20,2,1,9,0.225,"touch",0,NA,2.809
"1099","biology","temper",66,1.771,21,2,1,31,0.775,"SKIP",0,NA,2.855
"1099","date","laugh",36,1.555,22,2,0,16,0.4,"",NA,NA,NA
"1099","visit","glove",30,1.611,23,2,0,12,0.3,"",NA,NA,NA
"1099","mill","feast",28,1.247,24,2,1,11,0.275,"fee",0,NA,3.626
"1099","anger","decay",30,1.417,25,2,1,13,0.325,"SKIP",0,NA,2.079
"1099","process","joker",61,2.44,26,2,1,27,0.675,"detect",0,NA,3.334
"1099","collect","loyalty",67,2.831,27,2,1,33,0.825,"payment",0,NA,2.431
"1099","smother","surgery",57,2.083,28,2,1,23,0.575,"bind",0,NA,1.735
"1099","climax","saucer",40,1.459,29,2,1,19,0.475,"zero",0,NA,2.904
"1099","bacon","feud",40,1.803,30,2,0,18,0.45,"",NA,NA,NA
"1099","bleach","ruin",19,2.206,31,2,1,3,0.075,"SKIP",0,NA,2.332
"1099","plant","worm",57,1.477,32,2,0,24,0.6,"",NA,NA,NA
"1099","banner","glide",28,2.931,33,2,0,8,0.2,"",NA,NA,NA
"1099","link","crisis",73,1.803,34,2,0,38,0.95,"",NA,NA,NA
"1099","copy","bedroom",62,1.794,35,2,0,28,0.7,"",NA,NA,NA
"1099","capital","figure",72,3.497,36,2,1,37,0.925,"gain",0,NA,1.74
"1099","rock","milk",32,4.481,37,2,0,14,0.35,"",NA,NA,NA
"1099","grip","beach",18,1.716,38,2,0,2,0.05,"",NA,NA,NA
"1099","fan","feature",67,2.03,39,2,1,35,0.875,"fanatic",0,NA,5.036
"1099","forest","knob",43,1.74,40,2,0,20,0.5,"",NA,NA,NA
"1099","collect","loyalty",67,2.831,1,3,1,33,0.825,"payment",0,NA,2.76
"1099","need","faucet",56,2.413,2,3,0,22,0.55,"",NA,NA,NA
"1099","copy","bedroom",62,1.794,3,3,0,28,0.7,"",NA,NA,NA
"1099","bias","sirloin",22,1.587,4,3,1,5,0.125,"information",0,NA,2.83
"1099","smother","surgery",57,2.083,5,3,1,23,0.575,"bind",0,NA,1.367
"1099","forest","knob",43,1.74,6,3,0,20,0.5,"",NA,NA,NA
"1099","want","ascent",67,3.521,7,3,0,32,0.8,"",NA,NA,NA
"1099","banner","glide",28,2.931,8,3,0,8,0.2,"",NA,NA,NA
"1099","visit","glove",30,1.611,9,3,0,12,0.3,"",NA,NA,NA
"1099","bullet","walkway",34,1.265,10,3,1,15,0.375,"hit",0,NA,1.692
"1099","link","crisis",73,1.803,11,3,0,38,0.95,"",NA,NA,NA
"1099","nerve","bumper",28,1.452,12,3,0,10,0.25,"",NA,NA,NA
"1099","shrink","mafia",65,1.699,13,3,1,29,0.725,"call",0,NA,3.112
"1099","fee","chowder",23,1.499,14,3,0,6,0.15,"",NA,NA,NA
"1099","port","cinema",18,1.643,15,3,1,1,0.025,"call",0,NA,11.84
"1099","date","laugh",36,1.555,16,3,0,16,0.4,"",NA,NA,NA
"1099","fan","feature",67,2.03,17,3,1,35,0.875,"fanatic",0,NA,2.503
"1099","biology","temper",66,1.771,18,3,1,31,0.775,"test",0,NA,3.135
"1099","pea","bathtub",21,1.651,19,3,0,4,0.1,"",NA,NA,NA
"1099","climax","saucer",40,1.459,20,3,1,19,0.475,"zero",0,NA,1.774
"1099","anger","decay",30,1.417,21,3,1,13,0.325,"SKIP",0,NA,2.008
"1099","caring","skirt",28,1.588,22,3,1,9,0.225,"touch",0,NA,1.64
