subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt,response,testacc,rtfirst,rt
28,bacon,feud,40,3.299139701,5,5,1,5,0.125, ,0,40.13183868,41.9705671,skip,0,14.96930534,32.62493766
28,nerve,bumper,63,4.81621273,6,5,0,20,0.5,,,,,bumpers,0,2.07646564,5.276415541
28,remind,foam,50,4.199385093,7,5,0,8,0.2,,,,,foam,1,3.791174811,6.695173726
28,copy,bedroom,57,2.265591168,8,5,0,12,0.3,,,,,bedroom,1,1.474110379,3.554187457
28,find,clown,100,2.148815009,9,5,0,36,0.9,,,,,clown,1,1.785583496,3.033593436
28,forest,knob,59,2.382221073,10,5,1,15,0.375,knob,1,1.586594827,2.354635904,knob,1,1.669155972,2.453176863
28,shrink,mafia,71,2.598971542,11,5,1,21,0.525,mafia,1,1.982173092,3.094134427,mafia,1,1.666408585,3.354380922
28,collect,loyalty,97,1.698327481,12,5,0,34,0.85,,,,,loyalty,1,1.484242613,3.780369361
28,date,laugh,100,1.481953551,13,5,0,40,1,,,,,laugh,1,1.659120278,2.515174297
28,biology,temper,81,3.699117122,14,5,0,28,0.7,,,,,temper,1,1.850304262,3.458300873
28,caring,skirt,61,4.316060543,15,5,1,17,0.425,skirt,1,2.895468093,4.27920302,skirt,1,1.594376098,3.5175692
28,link,crisis,82,2.732288154,16,5,1,29,0.725,crisis,1,1.709776639,7.309647833,crisis,1,3.677377929,5.304279747
28,fee,chowder,41,3.015664214,17,5,0,6,0.15,,,,,skip,0,31.72173255,32.60970515
28,visit,glove,62,2.999073727,18,5,1,19,0.475,glove,1,1.905472997,3.333309172,glove,1,1.470433511,3.798032375
28,banner,glide,78,3.899189864,19,5,1,27,0.675,glider,0,1.619313949,2.531334683,glider,0,1.513322392,2.897382862
28,port,cinema,50,13.35218808,20,5,0,10,0.25,,,,,cinema,1,1.752486553,3.792462549
28,calf,annoy,38,7.283554708,21,5,1,3,0.075, ,0,26.9826404,30.86273967,otter,0,7.553081895,9.497056164
28,glue,force,82,3.816010027,22,5,0,30,0.75,,,,,force,1,1.538865463,2.994883688
28,plant,worm,100,1.364783854,23,5,0,38,0.95,,,,,worm,1,1.249806679,1.977822046
28,pork,emperor,83,1.632042827,24,5,1,31,0.775, ,0,33.445012,33.59767258,saucer,0,6.323019458,8.050965226
28,bleach,ruin,88,2.098804922,25,5,1,33,0.825,ruin,1,1.907131822,2.69121269,ruin,1,1.350200505,2.28630402
28,replace,roach,61,5.449712961,26,5,0,16,0.4,,,,,roach,1,8.457234761,10.07332215
28,prison,loaf,71,1.548488696,27,5,0,22,0.55,,,,,loaf,1,1.875488113,3.82743449
28,bias,sirloin,25,6.49999984,28,5,1,1,0.025,sirloins,0,7.433445771,12.06330217,sirloin,1,3.428907418,7.413882742
28,pea,bathtub,54,11.15138824,29,5,1,11,0.275,bathtub,1,2.854959041,7.209710408,bathtub,1,1.837513804,4.06949614
28,bullet,walkway,86,1.782140762,30,5,0,32,0.8,,,,,walkway,1,1.589727413,3.885663967
28,want,ascent,58,2.915704017,31,5,0,14,0.35,,,,,skip,0,34.31761577,35.18956686
28,fan,feature,76,1.381686734,32,5,1,25,0.625,feature,1,1.412586024,2.25260378,feature,1,0.977846742,3.345856195
28,chicken,beet,62,2.115478479,33,5,0,18,0.45,,,,,beet,1,4.468357735,5.820361394
28,need,faucet,37,3.315598048,34,5,0,2,0.05,,,,,faucet,1,4.577723068,6.617707083
28,grip,beach,73,3.115718065,35,5,1,23,0.575,beach,1,2.474357021,4.903234932,beach,1,1.478667334,2.494719955
28,knock,otter,46,3.199147752,36,5,1,7,0.175,otter,1,6.987459071,8.891422063,otter,1,4.320217225,7.00819726
28,anger,decay,99,3.64915322,37,5,1,35,0.875,decay,1,1.760519277,2.856527098,decay,1,1.905675058,3.025773356
28,process,joker,100,5.266288118,38,5,1,39,0.975,joker,1,3.07767576,3.877683201,joker,1,1.231326761,2.255331603
28,rock,milk,75,3.53254737,39,5,0,24,0.6,,,,,milk,1,1.363766814,2.374273022
28,capital,figure,58,4.04937151,40,5,1,13,0.325,figure,1,1.415868392,2.331570485,figure,1,1.260817398,2.516813236
30,need,faucet,49,1.69857252,1,5,1,25,0.625,skip,0,32.97458073,34.83049716,faucet,1,7.006303759,8.989631223
30,anger,decay,62,3.332477194,2,5,1,33,0.825,skip,0,37.59700482,89.3314624,skip,0,12.73203473,13.82004681
30,port,cinema,47,2.732616584,3,5,0,18,0.45,,,,,cinema,1,2.289327293,4.233277269
30,shrink,mafia,49,2.182184253,4,5,1,21,0.525,mafia,1,1.778028661,3.634002497,mafia,1,2.624649515,4.136645389
30,fee,chowder,45,3.14910912,5,5,1,13,0.325,chowder ,0,10.1977561,30.90922203,chowder,1,2.8038278,4.595815605
30,visit,glove,15,4.832906493,6,5,1,1,0.025,glove,1,17.783823,20.11979264,glove,1,1.748742872,3.712126606
30,find,clown,32,8.867414656,7,5,1,5,0.125,faucet,0,17.68576923,20.18174389,clown,1,8.368450797,9.688492159
30,pork,emperor,49,1.715304129,8,5,0,26,0.65,,,,,emporer,0,8.916030485,16.46803794
30,want,ascent,23,5.483325962,9,5,1,3,0.075,ascent,1,7.406975786,9.518884842,ascent,1,9.65549701,11.60756419
30,collect,loyalty,48,4.782904103,10,5,0,20,0.5,,,,,loyalty,1,5.091764058,7.581262497
30,risk,zero,54,1.798780001,11,5,0,30,0.75,,,,,zero,1,1.419146443,2.555166074
30,glue,force,38,9.784350924,12,5,1,7,0.175,force,1,4.067959515,9.019456225,force,1,18.99743892,20.4214442
30,chicken,beet,46,3.465818823,13,5,1,17,0.425,beet,1,4.404800263,5.57277931,beet,1,2.155345623,3.160429941
30,climax,saucer,63,4.382589594,14,5,0,34,0.85,,,,,saucer,1,1.91700328,3.717027463
30,date,laugh,78,1.815285815,15,5,0,36,0.9,,,,,laugh,1,1.326976332,2.543007907
30,banner,glide,82,2.648948273,16,5,1,39,0.975,glide,1,2.001353488,3.545309925,glide,1,1.193870593,2.001901007
30,pea,bathtub,80,3.132362115,17,5,0,38,0.95,,,,,bathtub,1,1.802385447,4.938473717
30,remind,foam,32,6.850138765,18,5,0,6,0.15,,,,,foam,1,3.022848322,4.470876785
30,rock,milk,45,1.915662964,19,5,0,14,0.35,,,,,milk,1,1.418082559,2.538109295
30,biology,temper,44,1.41510024,20,5,0,12,0.3,,,,,temper,1,1.557181263,2.837200777
30,grip,beach,46,7.333598471,21,5,0,16,0.4,,,,,skip,0,16.22184397,17.2698419
30,prison,loaf,73,2.232129553,22,5,1,35,0.875,loaf,1,2.541672507,4.421664334,loaf,1,1.543427431,2.479442701
30,bleach,ruin,86,1.698668098,23,5,0,40,1,,,,,ruin,1,1.635575091,2.629853147
30,forest,knob,47,1.5486744,24,5,1,19,0.475,knob,1,1.830195348,3.904797216,knob,1,1.620565254,3.423562346
30,replace,roach,49,4.716211479,25,5,1,23,0.575,skip,0,27.31054171,32.15045587,skip,0,22.43695856,23.58895152
30,smother,surgery,62,3.282448825,26,5,0,32,0.8,,,,,surgery,1,2.000329397,3.6003412
30,process,joker,50,7.117033386,27,5,0,28,0.7,,,,,joker,1,3.168455415,4.928464807
30,knock,otter,24,5.799891015,28,5,0,4,0.1,,,,,skip,0,19.65132423,20.77112324
30,copy,bedroom,42,4.216129532,29,5,0,10,0.25,,,,,bedroom,1,7.414532966,10.64051155
30,bullet,walkway,58,1.015183117,30,5,1,31,0.775,walkway,1,1.94446531,3.648461723,walkway,1,1.020573657,2.563329145
30,nerve,bumper,50,2.249108767,31,5,1,27,0.675,bumper,1,2.102800918,5.702736258,bumper,1,1.847893497,3.59191705
30,capital,figure,46,2.648905295,32,5,1,15,0.375,figure,1,3.12870834,5.040677437,figure,1,2.878503327,4.07852533
30,link,crisis,23,8.800694769,33,5,0,2,0.05,,,,,skip,0,51.97373295,52.94969212
30,calf,annoy,49,1.715309581,34,5,0,22,0.55,,,,,annoy,1,1.62386788,2.787347065
30,bacon,feud,52,2.882606753,35,5,1,29,0.725,feud,1,4.062888105,12.39350281,feud,1,1.331623807,2.987639128
30,fan,feature,42,4.766246262,36,5,1,11,0.275,feature,1,4.634119885,6.744408284,function,0,19.17082277,23.1547869
30,mill,feast,40,8.150742285,37,5,1,9,0.225,feast,1,4.360417413,6.032379146,feast,1,22.80532211,24.10930579
30,bias,sirloin,49,3.06565602,38,5,0,24,0.6,,,,,sirloin,1,1.661351738,3.725285792
30,caring,skirt,38,2.11535628,39,5,0,8,0.2,,,,,skirt,1,2.258844475,3.158614571
30,plant,worm,79,3.515818326,40,5,1,37,0.925,worm,1,1.946935906,3.298954639,worm,1,1.001056827,2.257069518
31,calf,annoy,25,5.416539363,1,5,0,3,0.075,,,,,  ,0,6.74604594,8.62357102
31,remind,foam,25,1.665286986,2,5,1,4,0.1, ,0,18.03327142,19.64135014,chowder,0,5.841241347,7.697221918
31,grip,beach,51,1.865307449,3,5,1,16,0.4,beach,1,2.186799903,4.218842922,beach,1,1.491302879,2.473546532
31,want,ascent,75,5.599754448,4,5,0,35,0.875,,,,, ,0,28.90688486,31.83481549
31,bullet,walkway,84,1.48218095,5,5,1,40,1,walkway,1,1.208925578,3.898489707,walkway,1,2.08863003,4.624635849
31,chicken,beet,55,2.365528272,6,5,1,20,0.5,beet,1,1.356797315,2.46889047,beet,1,1.12557415,1.861602356
31,smother,surgery,63,2.615748054,7,5,0,27,0.675,,,,,surgery,1,2.647780809,4.519815284
31,find,clown,59,1.481784846,8,5,0,23,0.575,,,,,happy,0,5.228766039,6.500775689
31,glue,force,64,1.298546989,9,5,1,28,0.7,force,1,1.401933563,2.720482663,force,1,1.407079061,2.967113457
31,prison,loaf,54,1.465251449,10,5,1,18,0.45,loaf,1,1.706904808,2.47838509,loaf,1,3.133469922,5.821432959
31,climax,saucer,65,1.148786143,11,5,0,29,0.725,,,,,cinema,0,20.9042555,22.88821699
31,visit,glove,55,1.915191488,12,5,0,21,0.525,,,,,glove,1,8.675843548,9.971812817
31,plant,worm,73,1.731828225,13,5,1,34,0.85,worm,1,1.486518525,2.302588208,worm,1,1.706239931,2.4468546
31,biology,temper,82,1.865394688,14,5,0,39,0.975,,,,,temper,1,9.074504045,10.26649274
31,copy,bedroom,48,1.865530678,15,5,0,15,0.375,,,,,bedroom,1,1.851770647,3.424925213
31,capital,figure,69,1.231645568,16,5,0,31,0.775,,,,,feature,0,1.711719311,3.031715873
31,knock,otter,38,3.549487775,17,5,1,8,0.2,otter,1,3.21124094,8.94720051,forest,0,10.33400099,11.52597911
