subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
12,caring,skirt,100,1.665264423,27,4,1,35,0.875,skirt,1,1.466296285,2.682198148
12,anger,decay,75,4.46615003,28,4,1,19,0.475, ,0,1.990019119,2.134115344
12,find,clown,91,4.065986906,29,4,0,30,0.75,,,,
12,banner,glide,60,0.948364921,30,4,0,6,0.15,,,,
12,fee,chowder,72,1.382163284,31,4,0,18,0.45,,,,
12,bleach,ruin,67,4.115996191,32,4,0,16,0.4,,,,
12,pork,emperor,100,0.798376836,33,4,0,34,0.85,,,,
12,plant,worm,65,2.248743289,34,4,0,10,0.25,,,,
12,calf,annoy,60,7.933775752,35,4,1,5,0.125,annoy,1,3.161090247,4.057055783
12,visit,glove,78,3.68254903,36,4,1,21,0.525, ,0,1.655781961,1.775827081
12,knock,otter,43,3.382486904,37,4,0,2,0.05,,,,
12,forest,knob,45,0.83172085,38,4,1,3,0.075,knob,1,1.795222109,2.595232116
12,replace,roach,64,14.50236685,39,4,1,9,0.225, ,0,1.182658239,1.326703468
12,copy,bedroom,80,17.93664727,40,4,0,22,0.55,,,,
13,climax,saucer,15,1.014951549,1,4,0,5,0.125,,,,
13,process,joker,16,1.715390085,2,4,0,7,0.175,,,,
13,bleach,ruin,96,0.731774984,3,4,1,36,0.9,ruin,1,3.918860979,5.10859269
13,port,cinema,20,1.165063596,4,4,1,14,0.35,beach,0,2.054499048,3.966556987
13,risk,zero,81,0.798449006,5,4,0,27,0.675,,,,
13,date,laugh,90,0.831727804,6,4,0,33,0.825,,,,
13,anger,decay,100,0.698389382,7,4,1,40,1,decay,1,2.009867631,6.395540739
13,chicken,beet,87,1.215272858,8,4,0,31,0.775,,,,
13,replace,roach,38,2.01545606,9,4,0,21,0.525,,,,
13,plant,worm,79,1.5317805,10,4,1,26,0.65,worm,1,1.728576647,2.624603776
13,rock,milk,100,0.748340775,11,4,0,39,0.975,,,,
13,copy,bedroom,50,0.331655158,12,4,1,24,0.6,bedroom,1,1.887178462,3.619721919
13,biology,temper,29,1.682040405,13,4,1,20,0.5,temper,1,1.474780066,3.20271076
13,grip,beach,23,0.831805742,14,4,1,16,0.4, ,0,10.06059006,30.56409839
13,find,clown,100,1.415348486,15,4,1,38,0.95,clown,1,2.058151219,3.770152774
13,mill,feast,10,1.18185422,16,4,0,1,0.025,,,,
13,fee,chowder,11,1.031837109,17,4,1,2,0.05, ,0,9.309726092,13.62954946
