subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp
11,fee,chowder,31,0.931814799,34,1,0,9,0.225
11,prison,loaf,63,1.798789672,35,1,0,31,0.775
11,risk,zero,59,0.948723985,36,1,1,10,0.25
11,climax,saucer,54,1.565534961,37,1,1,24,0.6
11,pork,emperor,65,0.915225067,38,1,1,16,0.4
11,nerve,bumper,53,0.715352527,39,1,1,14,0.35
11,pea,bathtub,57,0.815361123,40,1,1,6,0.15
11,forest,knob,46,7.867224405,1,2,0,33,0.825
11,prison,loaf,64,0.981996785,2,2,0,31,0.775
11,rock,milk,53,1.548635077,3,2,0,15,0.375
11,pea,bathtub,45,1.548904174,4,2,1,6,0.15
11,knock,otter,36,1.948804811,5,2,0,19,0.475
11,want,ascent,62,0.781753475,6,2,0,11,0.275
11,risk,zero,47,0.799158197,7,2,1,10,0.25
11,anger,decay,59,0.715140521,8,2,0,23,0.575
11,glue,force,100,1.198792623,9,2,0,39,0.975
11,bacon,feud,55,0.731720311,10,2,1,18,0.45
11,replace,roach,62,0.765288187,11,2,1,30,0.75
11,bullet,walkway,51,0.865473509,12,2,1,36,0.9
11,mill,feast,76,0.848457839,13,2,0,17,0.425
11,fan,feature,57,1.248713529,14,2,1,26,0.65
11,caring,skirt,78,3.082368133,15,2,0,7,0.175
11,visit,glove,54,0.998763885,16,2,0,3,0.075
11,date,laugh,100,1.298569326,17,2,1,38,0.95
11,calf,annoy,58,1.081906594,18,2,0,29,0.725
11,find,clown,58,0.981844436,19,2,1,28,0.7
11,pork,emperor,70,1.11546998,20,2,1,16,0.4
11,banner,glide,58,3.199178788,21,2,1,2,0.05
11,link,crisis,43,1.032042778,22,2,0,35,0.875
11,biology,temper,55,0.731955731,23,2,1,34,0.85
11,process,joker,60,2.916013435,24,2,1,22,0.55
11,port,cinema,36,1.548701149,25,2,1,12,0.3
11,climax,saucer,64,0.615063288,26,2,1,24,0.6
11,collect,loyalty,73,1.365318272,27,2,0,27,0.675
11,plant,worm,100,0.848618207,28,2,1,40,1
11,bias,sirloin,65,0.631977926,29,2,1,20,0.5
11,nerve,bumper,58,0.631723262,30,2,1,14,0.35
11,bleach,ruin,100,0.865131925,31,2,0,37,0.925
11,smother,surgery,67,1.365322763,32,2,0,1,0.025
11,need,faucet,71,0.84880712,33,2,0,21,0.525
11,copy,bedroom,56,1.431946301,34,2,1,32,0.8
11,remind,foam,31,0.648457967,35,2,0,5,0.125
11,capital,figure,60,0.782063947,36,2,1,8,0.2
11,shrink,mafia,42,0.76507554,37,2,0,25,0.625
11,grip,beach,53,1.532274029,38,2,1,4,0.1
11,fee,chowder,52,0.433318088,39,2,0,9,0.225
11,chicken,beet,68,0.715070921,40,2,0,13,0.325
11,find,clown,66,1.615194468,1,3,1,28,0.7
11,bacon,feud,58,0.915182409,2,3,1,18,0.45
11,bleach,ruin,100,1.082006664,3,3,0,37,0.925
11,grip,beach,46,1.081898255,4,3,1,4,0.1
11,anger,decay,61,0.748696209,5,3,0,23,0.575
11,caring,skirt,53,1.015438933,6,3,0,7,0.175
11,calf,annoy,66,0.615333347,7,3,0,29,0.725
11,fee,chowder,54,0.748684342,8,3,0,9,0.225
11,shrink,mafia,62,2.43221187,9,3,0,25,0.625
11,date,laugh,100,6.300097311,10,3,1,38,0.95
11,chicken,beet,56,8.350563468,11,3,0,13,0.325
11,bias,sirloin,59,9.467693577,12,3,1,20,0.5
11,smother,surgery,43,0.865110756,13,3,0,1,0.025
11,visit,glove,45,0.78192154,14,3,0,3,0.075
11,pea,bathtub,51,3.799465141,15,3,1,6,0.15
11,glue,force,100,1.732240223,16,3,0,39,0.975
11,nerve,bumper,56,0.781776568,17,3,1,14,0.35
11,need,faucet,59,0.865196393,18,3,0,21,0.525
11,process,joker,60,0.681959131,19,3,1,22,0.55
11,remind,foam,46,1.065519245,20,3,0,5,0.125
11,fan,feature,63,2.082191407,21,3,1,26,0.65
11,mill,feast,57,0.948522884,22,3,0,17,0.425
11,risk,zero,54,1.448621029,23,3,1,10,0.25
11,climax,saucer,61,0.698442379,24,3,1,24,0.6
11,link,crisis,82,0.982042971,25,3,0,35,0.875
11,knock,otter,58,0.865092154,26,3,0,19,0.475
11,replace,roach,70,0.615035384,27,3,1,30,0.75
11,forest,knob,76,0.682006279,28,3,0,33,0.825
11,banner,glide,43,0.648477532,29,3,1,2,0.05
11,biology,temper,81,1.148851189,30,3,1,34,0.85
11,copy,bedroom,72,0.831789526,31,3,1,32,0.8
11,port,cinema,55,0.865115888,32,3,1,12,0.3
11,capital,figure,53,1.465217177,33,3,1,8,0.2
11,collect,loyalty,63,0.848505308,34,3,0,27,0.675
11,bullet,walkway,85,0.715128974,35,3,1,36,0.9
11,want,ascent,54,0.765364843,36,3,0,11,0.275
11,rock,milk,56,0.615076438,37,3,0,15,0.375
11,prison,loaf,70,0.782071003,38,3,0,31,0.775
11,pork,emperor,56,2.348919377,39,3,1,16,0.4
11,plant,worm,100,1.465315963,40,3,1,40,1
12,smother,surgery,70,7.06470622,1,1,0,40,1
12,pea,bathtub,8,2.665500803,2,1,1,23,0.575
12,shrink,mafia,37,2.949065722,3,1,1,1,0.025
12,climax,saucer,63,3.065712679,4,1,1,15,0.375
12,want,ascent,28,8.233809974,5,1,0,8,0.2
12,bullet,walkway,92,6.400003721,6,1,0,38,0.95
12,copy,bedroom,71,2.882335678,7,1,0,22,0.55
